Season,PlayerId,TeamId,FranchiseId,First Name,Last Name,Nick Name,Height,Weight,Date Of Birth,Hand,G,LD,RD,LW,C,RW,Aggression,Bravery,Determination,Teamplayer,Leadership,Temperament,Professionalism,Mental Toughness,Goalie Stamina,Acceleration,Agility,Balance,Speed,Stamina,Strength,Fighting,Screening,Getting Open,Passing,Puck Handling,Shooting Accuracy,Shooting Range,Offensive Read,Checking,Faceoffs,Hitting,Positioning,Shot Blocking,Stickchecking,Defensive Read,G Positioning,G Passing,G Pokecheck,Blocker,Glove,Rebound,Recovery,G Puckhandling,Low Shots,G Skating,Reflexes,Skating,Shooting,Playmaking,Defending,Physicality,Conditioning,Character,Hockey Sense,Goalie Technique,Goalie Overall Positioning,Ability,Potential
2034/2035,492,10,10,Christian,Humphreys,,72,212,2006-2-4,Right,0,5,8,12,20,20,11,14,13,13,13,12,14,1,1,15,15,15,16,15,16,12,20,16,14,15,18,11,15,13,13,12,15,7,13,15,1,1,1,1,1,1,1,1,1,1,1,15,20,11,12,14,17,11,15,0,0,3.5,3.5
2034/2035,515,33,33,Alexei,Vlasov,,75,226,2008-2-2,Left,0,8,8,20,11,19,8,15,15,19,17,14,18,1,1,15,17,16,17,18,13,6,16,17,16,17,18,8,17,12,10,9,15,10,16,14,1,1,1,1,1,1,1,1,1,1,1,16,17,15,13,12,18,12,17,0,0,4,4
2034/2035,146246,30,30,Alex,Picard,,71,203,2009-10-10,Right,0,19,20,5,7,8,17,17,15,12,13,6,18,1,1,15,15,14,13,15,14,12,10,11,17,16,11,17,14,19,9,16,15,15,15,14,1,1,1,1,1,1,1,1,1,1,1,14,14,13,16,14,17,12,14,0,0,2.5,3.5
2034/2035,558,5098,5098,Alexander,Suzdalev,,74,220,2004-3-5,Left,0,8,5,20,10,19,10,17,16,18,15,15,15,1,1,17,16,16,16,15,17,10,14,16,19,17,16,6,20,13,12,13,15,8,16,14,1,1,1,1,1,1,1,1,1,1,1,16,14,17,13,14,17,13,18,0,0,4,4
2034/2035,559,20,20,Yegor,Afanasyev,yeehaw,76,232,2001-1-23,Left,0,8,5,20,17,19,9,14,15,17,15,13,13,1,1,16,16,15,13,13,15,9,15,16,16,16,17,8,16,12,11,16,11,8,13,13,1,1,1,1,1,1,1,1,1,1,1,14,16,14,11,13,16,12,16,0,0,3.5,3.5
2034/2035,562,30,30,Ivan,Okunev,,71,202,2006-8-3,Left,0,5,8,15,11,20,10,11,13,12,12,10,10,1,1,17,15,14,15,15,15,10,11,14,17,16,18,6,19,12,11,12,14,10,12,13,1,1,1,1,1,1,1,1,1,1,1,15,15,14,12,11,17,11,16,0,0,2.5,2.5
2034/2035,146256,14,14,Mathieu,Racette,,73,216,2009-2-7,Left,0,8,5,20,12,16,9,11,15,15,13,10,15,1,1,14,14,13,15,15,13,7,16,14,14,14,15,9,15,13,13,12,15,8,16,13,1,1,1,1,1,1,1,1,1,1,1,14,16,13,13,12,17,11,14,0,0,2.5,2.5
2034/2035,676,5090,5090,Mikhail,Gulyayev,,72,198,2005-4-26,Left,0,19,20,5,5,8,11,13,13,15,20,12,15,1,1,15,13,15,15,16,14,11,8,14,18,17,12,18,16,14,11,15,14,12,14,13,1,1,1,1,1,1,1,1,1,1,1,15,15,13,13,12,17,12,13,0,0,3.5,3.5
2034/2035,677,11,11,Eemil,Vinni,,74,220,2005-12-18,Left,20,0,0,0,0,0,8,1,16,18,16,1,17,19,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,14,15,18,17,18,16,18,15,16,0,0,9,0,1,10,13,0,15,16,5,5
2034/2035,687,23,23,Daniil,But,,77,233,2005-2-15,Right,0,8,8,19,14,20,9,13,12,16,14,14,16,1,1,18,15,17,16,14,15,8,15,17,16,20,16,6,15,12,11,14,14,10,15,14,1,1,1,1,1,1,1,1,1,1,1,17,14,13,12,13,16,11,16,0,0,3.5,3.5
2034/2035,699,12,12,Macklin,Celebrini,,75,225,2006-6-13,Left,0,8,5,12,19,20,11,15,16,17,14,9,17,1,1,15,14,15,15,18,18,11,16,17,17,16,16,7,17,15,16,16,14,9,16,14,1,1,1,1,1,1,1,1,1,1,1,15,15,14,13,15,19,13,17,0,0,3.5,3.5
2034/2035,708,8,8,Gavin,McKenna,,74,208,2007-12-20,Left,0,8,5,20,20,13,10,16,13,17,17,11,16,1,1,15,15,17,17,17,13,10,16,17,18,17,16,9,16,16,14,15,17,10,17,15,1,1,1,1,1,1,1,1,1,1,1,16,17,15,15,14,18,12,16,0,0,4.5,4.5
2034/2035,711,4182,4182,Yegor,Rimashevsky,,73,216,2005-2-1,Left,0,9,5,19,12,20,8,11,14,11,11,13,12,1,1,14,15,14,15,13,10,11,14,16,17,16,15,7,18,10,16,11,14,7,13,12,1,1,1,1,1,1,1,1,1,1,1,14,14,12,11,10,16,12,17,0,0,2.5,2.5
2034/2035,747,17,17,Matvei,Gridin,,75,214,2006-3-1,Left,0,8,8,15,20,20,9,13,14,17,15,12,14,1,1,14,15,14,15,16,11,9,14,18,17,17,16,7,16,13,12,13,16,8,14,15,1,1,1,1,1,1,1,1,1,1,1,14,15,14,12,12,17,11,17,0,0,3.5,3.5
2034/2035,765,3,3,Vasili,Podkolzin,,73,197,2001-6-24,Left,0,5,8,19,10,20,9,17,15,16,14,15,16,1,1,15,13,14,20,14,12,10,14,16,14,20,16,8,15,14,11,15,14,6,12,13,1,1,1,1,1,1,1,1,1,1,1,16,16,13,11,13,17,11,15,0,0,3.5,3.5
2034/2035,177406,27,27,Graham,Rosa,,77,240,2015-3-1,Left,0,5,8,12,10,20,6,10,14,15,12,18,13,1,1,17,13,15,14,16,12,6,12,13,16,15,13,6,20,13,12,10,14,6,15,15,1,1,1,1,1,1,1,1,1,1,1,15,12,14,12,10,18,11,16,0,0,2.5,2.5
2034/2035,156600,15,15,Brett,Glennie,,71,202,2011-1-18,Left,0,8,8,12,20,13,11,11,16,12,12,10,19,1,1,15,15,14,15,16,13,10,15,16,18,14,15,10,14,12,19,13,13,9,13,13,1,1,1,1,1,1,1,1,1,1,1,14,17,13,11,12,18,11,15,0,0,2.5,3.5
2034/2035,938,19,19,Viktor,Fyodorov,,74,208,2008-2-21,Left,0,8,8,18,20,13,8,15,18,17,18,12,16,1,1,17,18,16,16,16,12,9,12,16,20,20,15,7,19,12,15,11,17,6,12,16,1,1,1,1,1,1,1,1,1,1,1,16,14,17,11,11,18,14,17,0,0,4,4
2034/2035,953,5098,5098,Cole,Reschny,,71,201,2007-4-4,Left,0,8,5,14,20,17,9,15,16,13,13,13,14,1,1,16,16,15,16,19,16,9,16,16,18,16,16,11,16,15,16,14,14,9,18,16,1,1,1,1,1,1,1,1,1,1,1,15,19,14,14,14,19,12,16,0,0,4,4
2034/2035,971,34,34,Aaron,Obobaifo,,73,213,2007-2-13,Left,0,8,5,20,19,12,11,16,13,16,13,10,14,1,1,15,16,15,15,16,14,12,14,15,17,13,16,11,17,16,16,17,15,8,15,14,1,1,1,1,1,1,1,1,1,1,1,15,19,14,13,14,17,11,16,0,0,3.5,3.5
2034/2035,979,33,33,Nathan,Behm,,74,221,2007-4-18,Right,0,5,8,19,11,20,9,12,12,14,11,14,11,1,1,14,16,12,16,16,13,12,15,20,15,15,15,9,17,15,14,14,16,10,15,15,1,1,1,1,1,1,1,1,1,1,1,14,16,13,14,12,17,10,18,0,0,3,3
2034/2035,987,18,18,Topias,Leinonen,,77,238,2004-1-25,Left,20,0,0,0,0,0,7,1,14,15,17,1,13,16,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,12,16,15,16,14,14,13,15,14,15,0,0,8,0,1,10,11,0,13,14,2.5,2.5
2034/2035,167014,0,0,Thomas,Murray,,73,215,2013-5-7,Left,0,8,5,20,11,14,8,8,12,10,9,11,16,1,1,14,14,13,13,14,10,11,11,14,13,14,12,9,17,13,11,13,12,8,13,14,1,1,1,1,1,1,1,1,1,1,1,14,16,11,12,11,17,10,16,0,0,2,3
2034/2035,1063,35,35,Kaden,Aucoin,,73,215,2009-10-30,Right,0,15,20,5,5,8,8,15,17,13,16,12,12,1,1,14,13,14,14,16,14,12,8,15,15,16,11,17,16,15,9,15,17,14,16,14,1,1,1,1,1,1,1,1,1,1,1,14,14,14,15,12,18,13,15,0,0,2.5,3
2034/2035,1079,5098,5098,Matvei,Shuravin,,75,225,2006-3-22,Left,0,19,20,5,5,8,8,11,12,12,11,12,14,1,1,16,15,14,14,17,13,6,9,12,19,16,9,18,17,14,8,13,17,14,15,15,1,1,1,1,1,1,1,1,1,1,1,14,13,13,15,10,18,10,16,0,0,2,2
2034/2035,1132,25,25,Yegor,Surin,,72,212,2006-8-1,Left,0,8,10,20,19,19,8,13,14,14,13,12,15,1,1,16,15,16,17,16,14,7,16,16,16,15,16,6,16,15,12,13,14,10,19,15,1,1,1,1,1,1,1,1,1,1,1,16,14,13,14,12,18,12,16,0,0,3,3
2034/2035,1193,5088,5088,Danila,Poroshkov,,71,202,2006-8-7,Right,0,8,5,20,10,18,9,13,13,16,12,12,13,1,1,16,16,16,15,17,14,8,18,16,14,17,19,8,14,11,11,11,13,10,14,14,1,1,1,1,1,1,1,1,1,1,1,15,17,12,12,13,18,10,15,0,0,3,3
2034/2035,1272,31,31,Frans,Karjalahti,,70,196,2008-8-4,Left,0,8,5,17,20,13,8,13,16,14,11,12,14,1,1,15,17,15,17,16,15,11,15,18,16,17,18,8,18,13,16,14,15,11,15,14,1,1,1,1,1,1,1,1,1,1,1,15,17,14,13,13,18,12,18,0,0,4,4.5
2034/2035,167060,34,34,Christian,Martineau,,77,243,2013-11-24,Right,0,5,8,12,16,20,9,9,14,11,11,11,15,1,1,15,14,16,15,14,15,8,14,14,15,15,16,11,15,17,14,12,13,9,14,14,1,1,1,1,1,1,1,1,1,1,1,15,19,12,13,11,16,10,14,0,0,2.5,2.5
2034/2035,1382,5088,5088,Tobias,Öhman,,71,203,2006-1-12,Left,0,8,6,14,20,11,9,12,14,14,12,11,13,1,1,15,14,14,14,14,13,12,15,16,17,15,19,7,16,13,15,12,15,10,15,12,1,1,1,1,1,1,1,1,1,1,1,14,16,14,13,12,16,11,16,0,0,3,3
2034/2035,1436,5098,5098,Maxim,Ilyichyov,,72,207,2006-3-4,Left,0,8,8,19,20,18,7,12,11,14,12,15,13,1,1,17,17,17,15,18,12,9,13,16,19,20,15,10,19,13,17,10,15,9,13,12,1,1,1,1,1,1,1,1,1,1,1,16,17,15,12,10,18,11,17,0,0,3,3
2034/2035,1464,4182,4182,Danila,Sysoyev,,70,198,2006-4-17,Right,0,8,8,19,11,20,8,14,14,13,17,10,19,1,1,17,16,17,17,17,13,8,16,19,18,16,17,7,17,15,12,11,12,8,12,14,1,1,1,1,1,1,1,1,1,1,1,17,15,13,11,12,18,11,18,0,0,3.5,3.5
2034/2035,161875,5088,5088,Nathan,Denoird,,75,221,2012-6-13,Right,0,5,8,15,12,20,9,13,15,14,14,13,17,1,1,18,15,15,15,13,14,11,16,16,17,15,16,5,16,14,12,14,14,11,15,14,1,1,1,1,1,1,1,1,1,1,1,15,12,13,12,12,15,14,15,0,0,2.5,3.5
2034/2035,151484,26,26,Christopher,Sommerfeld,,73,213,2010-7-26,Left,0,8,5,19,10,20,12,16,16,12,13,13,20,1,1,16,18,16,19,17,16,10,20,18,15,16,19,11,16,14,12,14,15,10,14,14,1,1,1,1,1,1,1,1,1,1,1,16,19,11,12,14,17,13,16,0,0,4,5
2034/2035,151494,26,26,Jason,McNab,,73,218,2010-12-23,Right,0,14,20,5,5,8,5,11,17,16,14,20,20,1,1,17,17,17,19,17,16,7,12,12,18,16,14,18,19,14,10,10,17,16,18,14,1,1,1,1,1,1,1,1,1,1,1,16,15,14,15,10,17,11,15,0,0,4,5
2034/2035,172274,5092,5092,Marc-Antoine,Berthiaume,,77,230,2014-2-16,Left,0,8,5,20,14,14,4,12,15,12,14,17,12,1,1,13,14,15,12,12,14,6,14,14,13,13,14,8,11,11,11,10,13,10,12,12,1,1,1,1,1,1,1,1,1,1,1,12,13,10,10,10,15,11,11,0,0,1.5,3
2034/2035,156690,3,3,Peter,Wares,,72,208,2011-2-14,Right,0,5,8,19,11,20,16,14,16,12,13,5,14,1,1,13,15,14,15,15,13,12,17,14,15,17,15,8,16,14,10,15,14,10,14,14,1,1,1,1,1,1,1,1,1,1,1,14,15,12,13,15,17,11,15,0,0,2.5,2.5
2034/2035,172307,31,31,Steven,Findlay,,72,207,2014-2-22,Left,0,8,8,15,20,12,9,13,16,14,14,11,16,1,1,15,15,15,14,15,14,11,15,15,16,16,15,8,17,17,17,14,15,9,14,16,1,1,1,1,1,1,1,1,1,1,1,14,15,13,13,13,17,12,16,0,0,2.5,4
2034/2035,177493,10,10,Danick,Fortin,,73,197,2015-11-28,Left,0,20,18,8,5,5,6,8,14,9,8,16,11,1,1,11,10,14,11,12,8,5,8,10,11,13,7,12,10,8,7,13,10,11,12,12,1,1,1,1,1,1,1,1,1,1,1,13,10,10,11,9,16,12,12,0,0,0.5,1.5
2034/2035,177499,19,19,Josh,Vaillancourt,,75,205,2015-5-16,Right,0,14,20,6,5,8,16,14,15,11,12,3,15,1,1,11,15,13,12,13,11,11,6,10,17,14,9,13,13,15,9,14,12,13,12,12,1,1,1,1,1,1,1,1,1,1,1,11,10,11,12,11,15,11,11,0,0,1,2
2034/2035,2119,26,26,Victor,Eklund,,71,201,2006-10-3,Right,0,8,5,19,11,20,10,11,12,14,11,12,14,1,1,16,16,14,16,15,14,9,16,15,15,17,16,8,15,12,13,11,14,10,14,16,1,1,1,1,1,1,1,1,1,1,1,15,16,14,12,12,17,10,15,0,0,2.5,2.5
2034/2035,156716,27,27,Oliver,Drummond,,71,202,2011-7-11,Left,0,5,8,13,10,20,7,13,18,14,13,18,13,1,1,15,16,16,15,17,12,7,13,14,14,20,14,9,16,13,12,10,16,8,14,15,1,1,1,1,1,1,1,1,1,1,1,15,16,12,12,11,18,13,15,0,0,2.5,2.5
2034/2035,172363,5092,5092,Joe,O'Sullivan,,72,204,2014-1-14,Left,0,15,20,5,5,8,10,12,16,12,12,12,14,1,1,16,12,14,17,14,12,10,6,13,15,15,8,16,15,15,10,15,14,12,16,16,1,1,1,1,1,1,1,1,1,1,1,14,11,11,13,10,16,13,14,0,0,1.5,2.5
2034/2035,2596,15,15,Ilya,Kvochko,,70,194,2004-2-22,Left,0,8,8,20,19,13,8,13,15,17,14,15,18,1,1,16,17,15,14,16,11,7,11,18,18,18,14,6,17,11,18,9,14,8,14,15,1,1,1,1,1,1,1,1,1,1,1,15,13,16,11,10,17,13,17,0,0,3.5,3.5
2034/2035,146640,33,33,Petr,Joska,,72,210,2009-4-11,Right,0,16,20,5,5,8,11,11,14,16,12,14,15,1,1,15,13,15,20,18,14,8,10,14,18,18,13,18,17,15,9,15,15,14,16,16,1,1,1,1,1,1,1,1,1,1,1,16,15,14,15,12,18,11,15,0,0,4,5
2034/2035,2812,26,26,Vyacheslav,Vasilyev,,71,204,2007-1-11,Left,0,16,20,14,19,19,8,14,15,15,13,14,13,1,1,15,18,14,15,16,13,9,16,16,14,13,15,11,16,12,13,12,14,9,15,12,1,1,1,1,1,1,1,1,1,1,1,14,13,13,12,12,17,11,13,0,0,2.5,2.5
2034/2035,146719,23,23,Juhana,Koskinen,,75,226,2009-12-16,Left,20,0,0,0,0,0,5,1,18,14,11,1,18,18,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,12,12,13,15,14,18,14,15,13,16,0,0,7,0,1,9,12,0,12,18,3,3
2034/2035,3110,11,11,Filip,Bystedt,,77,237,2004-2-4,Left,0,8,5,18,20,12,9,15,15,18,13,12,16,1,1,16,13,16,15,16,14,9,15,14,17,19,15,5,18,14,16,11,13,8,14,16,1,1,1,1,1,1,1,1,1,1,1,15,12,16,12,12,17,11,16,0,0,3,3
2034/2035,3140,18,18,Jonathan,Lekkerimäki,,72,211,2004-7-24,Right,0,5,8,12,18,20,8,15,15,17,15,14,15,1,1,16,20,17,19,16,13,7,15,17,15,16,16,9,15,14,12,12,11,8,12,16,1,1,1,1,1,1,1,1,1,1,1,17,17,12,11,12,17,12,16,0,0,4,4
2034/2035,3183,18,18,Liam,Öhgren,,73,215,2004-1-28,Left,0,8,5,20,10,19,8,14,15,15,13,17,14,1,1,16,17,17,17,13,16,9,11,17,19,15,17,7,15,12,11,10,15,7,16,15,1,1,1,1,1,1,1,1,1,1,1,16,15,14,12,11,16,11,16,0,0,2.5,2.5
2034/2035,3655,8,8,Michael,Misa,,77,237,2007-2-16,Left,0,8,5,13,20,10,10,15,16,20,17,11,14,1,1,16,17,16,18,19,15,8,16,17,17,18,15,7,20,15,17,15,15,7,17,16,1,1,1,1,1,1,1,1,1,1,1,16,14,17,13,14,19,13,18,0,0,5,5
2034/2035,3949,21,21,Alex,Newhook,,70,197,2001-1-28,Left,0,8,5,20,19,12,7,16,16,16,14,18,16,1,1,17,15,15,17,18,14,7,13,15,18,17,15,8,19,16,15,13,14,7,14,14,1,1,1,1,1,1,1,1,1,1,1,16,15,15,12,12,18,12,17,0,0,3.5,3.5
2034/2035,4228,19,19,Alexei,Dontsov,,72,209,2006-3-26,Left,0,8,5,12,20,11,8,13,12,14,16,12,14,1,1,16,15,16,17,14,14,9,15,16,16,16,16,9,16,13,16,11,13,10,15,13,1,1,1,1,1,1,1,1,1,1,1,16,17,13,12,12,16,11,16,0,0,3,3
2034/2035,4309,24,24,Ryan,Suzuki,,72,210,2001-5-28,Left,0,8,5,18,20,12,7,14,16,21,18,15,16,1,1,10,15,13,14,17,12,9,14,15,19,17,14,7,18,12,17,11,12,8,15,14,1,1,1,1,1,1,1,1,1,1,1,12,14,18,11,11,18,13,16,0,0,3.5,3.5
2034/2035,4318,10,10,Alexis,Lafrenière,,74,204,2001-10-11,Left,0,8,5,20,15,19,11,15,16,16,16,14,15,1,1,15,15,16,16,14,15,8,13,14,15,17,19,8,17,16,12,14,13,8,15,15,1,1,1,1,1,1,1,1,1,1,1,15,17,14,13,13,17,13,15,0,0,4,4
2034/2035,4826,24,24,Axel,Sandin Pellikka,,71,201,2005-3-11,Right,0,20,19,5,5,8,8,14,14,16,15,14,12,1,1,16,14,14,14,15,13,10,7,12,18,18,9,17,15,15,9,14,15,13,17,16,1,1,1,1,1,1,1,1,1,1,1,14,13,14,15,11,17,12,15,0,0,2.5,2.5
2034/2035,151955,18,18,Konstantin,Götze,,74,223,2010-12-17,Right,0,18,20,5,5,8,16,17,17,13,16,5,16,1,1,15,15,14,13,14,15,13,9,15,17,17,10,18,17,14,9,18,12,12,12,14,1,1,1,1,1,1,1,1,1,1,1,14,14,14,12,15,16,10,13,0,0,2.5,3
2034/2035,5339,35,35,Matt,Boldy,,74,207,2001-4-5,Left,0,8,5,19,14,20,9,18,16,17,15,16,16,1,1,16,16,14,15,16,12,8,13,18,17,16,18,7,18,14,10,12,16,7,16,16,1,1,1,1,1,1,1,1,1,1,1,15,16,14,13,12,17,13,18,0,0,4,4
2034/2035,151971,34,34,Peter,Reinecke,,75,223,2010-5-23,Right,0,5,8,18,12,20,10,14,16,13,12,13,20,1,1,14,15,15,16,16,17,8,15,16,16,17,15,11,16,16,15,15,16,8,16,17,1,1,1,1,1,1,1,1,1,1,1,15,18,12,14,14,17,12,16,0,0,3.5,4
2034/2035,183071,25,25,Jiri,Krejci,,74,222,2016-8-1,Left,0,20,19,8,5,5,10,9,15,8,9,12,14,1,1,12,11,13,12,14,12,5,8,10,13,12,8,13,12,12,6,13,13,12,13,13,1,1,1,1,1,1,1,1,1,1,1,12,10,10,12,10,16,11,13,0,0,0.5,2.5
2034/2035,5663,18,18,Lian,Bichsel,,77,232,2004-5-18,Left,0,20,18,8,5,5,11,14,16,15,14,13,14,1,1,15,12,14,14,16,16,8,8,14,14,15,10,19,16,15,8,16,15,16,16,15,1,1,1,1,1,1,1,1,1,1,1,14,14,13,15,13,18,13,15,0,0,2.5,2.5
2034/2035,147410,5090,5090,Rasmus,Ekström,,71,197,2009-3-11,Left,0,20,19,8,5,5,7,13,18,14,15,19,16,1,1,16,14,16,15,16,11,10,9,14,16,20,10,16,14,15,11,13,17,16,19,18,1,1,1,1,1,1,1,1,1,1,1,15,13,13,16,10,17,11,17,0,0,3,4.5
2034/2035,162245,29,29,Radim,Dlouhy,,72,208,2012-7-27,Right,0,17,20,5,5,8,6,10,13,13,12,20,17,1,1,15,14,18,15,14,10,9,7,13,16,16,12,18,15,12,8,10,16,16,14,15,1,1,1,1,1,1,1,1,1,1,1,16,15,13,14,8,16,14,15,0,0,2.5,3.5
2034/2035,162251,4838,4838,Martin,Zimmermann,,71,202,2012-1-20,Left,0,20,14,8,5,6,8,10,16,13,10,12,11,1,1,14,15,14,15,17,13,11,6,14,15,16,12,20,17,15,11,13,13,13,15,13,1,1,1,1,1,1,1,1,1,1,1,14,16,12,14,10,18,12,13,0,0,3,3.5
2034/2035,6134,24,24,Michael,Hage,,75,222,2006-4-14,Right,0,6,9,12,18,20,10,15,14,14,13,12,16,1,1,16,17,17,14,15,14,12,16,19,14,17,19,9,18,15,14,14,16,10,14,15,1,1,1,1,1,1,1,1,1,1,1,15,18,12,13,13,17,11,18,0,0,4,4
2034/2035,147494,25,25,Dmytro,Davydov,,74,218,2009-7-19,Right,0,14,20,5,5,8,8,14,16,13,12,13,12,1,1,14,14,15,15,15,13,10,8,15,16,17,11,15,16,12,7,12,14,13,12,12,1,1,1,1,1,1,1,1,1,1,1,14,13,12,12,11,17,12,13,0,0,2.5,2.5
2034/2035,147529,32,32,Steven,Koekkoek,,74,222,2009-9-20,Left,0,8,5,19,15,20,7,15,15,13,12,17,14,1,1,14,14,14,14,14,13,8,13,15,15,17,15,6,15,14,12,10,14,9,13,14,1,1,1,1,1,1,1,1,1,1,1,14,13,13,12,11,16,11,15,0,0,2,2
2034/2035,147535,0,0,Roy,Bell,,73,213,2009-6-14,Left,0,20,15,8,6,5,6,9,12,11,11,18,13,1,1,10,18,12,14,13,10,8,8,11,17,13,11,15,15,14,6,11,14,11,12,12,1,1,1,1,1,1,1,1,1,1,1,12,13,12,12,8,16,9,13,0,0,2,2.5
2034/2035,6531,28,28,Dylan,Cozens,,75,197,2001-2-9,Right,0,5,8,19,19,20,9,14,17,17,17,13,14,1,1,18,11,9,14,15,13,9,16,16,15,14,16,7,16,14,13,12,12,7,17,9,1,1,1,1,1,1,1,1,1,1,1,13,15,14,12,12,17,13,16,0,0,2.5,2.5
2034/2035,6601,4182,4182,Kasper,Halttunen,,77,228,2005-6-7,Right,0,5,8,19,18,20,14,16,15,15,14,9,17,1,1,13,14,18,13,15,14,13,19,18,14,15,17,7,16,16,14,17,15,8,13,14,1,1,1,1,1,1,1,1,1,1,1,14,15,12,13,16,17,12,17,0,0,3,3
2034/2035,6758,10,10,Leo,Carlsson,,76,210,2004-12-26,Left,0,8,5,15,19,20,9,19,13,15,15,14,15,1,1,19,18,16,15,13,14,8,16,15,19,14,16,9,17,17,15,12,15,7,15,15,1,1,1,1,1,1,1,1,1,1,1,16,17,14,13,14,16,11,16,0,0,3,3
2034/2035,147642,23,23,Pierre-Olivier,Gendron,,75,231,2009-2-20,Left,0,8,5,20,10,16,9,12,15,11,12,11,15,1,1,15,14,13,13,16,14,8,14,15,13,14,14,9,15,12,12,14,15,8,11,12,1,1,1,1,1,1,1,1,1,1,1,13,16,11,11,12,17,10,15,0,0,2.5,2.5
2034/2035,6843,5092,5092,Moritz,Seider,,76,206,2001-4-6,Right,0,14,20,5,5,8,8,17,15,17,14,16,15,1,1,16,15,15,15,15,15,6,9,14,19,18,8,18,17,15,7,15,15,15,16,16,1,1,1,1,1,1,1,1,1,1,1,15,13,16,15,12,17,12,15,0,0,3,3
